word,score
venal,1.1882853
grump,1.1874539
minger,1.1866049
monster,1.1853894
puppet,1.1846371
sloth,1.1788639
hoax,1.1761953
barbaric,1.176133
goof,1.1757136
brag,1.1743184
sissy,1.1741041
deadbeat,1.1735321
shite,1.1721442
deluded,1.171019
traitor,1.1685812
jerkass,1.1674187
shite,1.1659347
witless,1.1636021
icky,1.1629198
bungling,1.1626431
chinky,1.1612693
ignoramus,1.1604343
psycho,1.1596359
grindcore,1.1587567
underneath,1.1562828
unworthy,1.1548708
mallcore,1.1540199
thoughtless,1.1532687
macho,1.1525137
insulting,1.1505991
traitor,1.1496204
miscreant,1.1486572
unfeeling,1.1474598
felon,1.1468932
miscreant,1.1454935
eejit,1.1452161
misanthrope,1.1435511
womanize,1.1416858
heretic,1.1371117
petulant,1.1356337
drivel,1.1355453
irresponsible,1.1336804
dope,1.1336123
diabolical,1.1319834
deranged,1.1307118
craven,1.1259033
cussing,1.1238734
unclean,1.1233733
cunning,1.1202434
numpty,1.1180827
wankery,1.1163822
ornery,1.1157663
hogwash,1.1107927
wank,1.1072139
stupidity,1.1056034
gossip,1.104953
bald,1.1047696
soulless,1.0978933
crapfest,1.0953743
profiteer,1.0935808
dishonesty,1.0929644
debauchery,1.0920113
tard,1.0918849
monster,1.0907508
insane,1.089709
mot,1.0866596
rancid,1.0824934
quackery,1.0781932
devious,1.0780957
voodoo,1.0778491
ghastly,1.0766453
saddo,1.0760502
bestial,1.0734359
warmonger,1.0689118
shiftless,1.0664129
deceiving,1.0637693
shithole,1.062124
buttcrack,1.0607477
wicked,1.0602891
pitiful,1.0600429
inane,1.0599051
shabby,1.054527
tacky,1.0542239
slanderer,1.0523376
prattle,1.0518756
childish,1.0508679
mendacious,1.049938
shithouse,1.0492055
bumble,1.04882
haughty,1.0484657
maniacal,1.04734
grouch,1.0472204
sociopathic,1.0449002
amoral,1.0442074
spic,1.0438231
fetid,1.0436645
stench,1.0432491
nutso,1.0408838
demeaning,1.0378136
wanksta,1.0357065
vag,1.0342995
crafty,1.0308954
hog,1.0306166
blooded,1.0295426
gomer,1.0272669
odious,1.0271484
ingrate,1.0269374
meth,1.021646
godless,1.020782
useless,1.0201158
usurper,1.0198568
grump,1.0186681
mockery,1.0172697
slander,1.0157164
wimp,1.0130191
dirtball,1.0123229
hocus,1.0122927
gyp,1.0102238
boring,1.0070935
cranky,1.0041231
wretched,1.0012458
stench,1.0008122
ignorant,1.0007477
cheat,1.000733
infidel,1.0007228
pretentious,1.0007099
savage,1.0006902
greed,1.0006466
vulgar,1.0005534
gossip,1.0005473
twink,1.0005108
hustler,1.000501
nefarious,1.0004996
tart,1.0004469
incompetence,1.0004252
seedy,1.0004184
wop,1.0004138
inhumanity,1.0003914
blasphemy,1.0003898
div,1.0003739
zealot,1.0003258
cracker,1.0001127
shady,1.0000462
bloodthirsty,1.0
ginger,0.99984204
dummy,0.99978806
abusive,0.99978604
prick,0.99978521
obscene,0.99972297
mook,0.99971044
sucker,0.99970684
reprehensible,0.99967207
miser,0.99966227
arrogance,0.99962435
ugliness,0.99960588
idiocy,0.99954255
raghead,0.99952609
shyster,0.99950537
braggart,0.99947894
boner,0.99943297
dago,0.99941781
crass,0.99940833
meeja,0.99917579
cruelty,0.99899831
delinquent,0.9981394
badness,0.99785335
spaz,0.9951664
bully,0.99507832
whoremonger,0.99003655
sneer,0.98971266
evildoer,0.98654976
fucktard,0.98596427
hooligan,0.98545504
humbug,0.98433134
gobshite,0.9832637
bummer,0.98258352
brag,0.97925755
sordid,0.97775481
detest,0.97770615
cheesy,0.97715432
hack,0.97290137
wog,0.97118361
sloppy,0.97069622
hick,0.97030326
minion,0.96862842
reprobate,0.9663361
bogan,0.96503692
ungodly,0.96363913
troll,0.96195856
domineering,0.96081435
degrading,0.96079982
boastful,0.96058681
hoax,0.95983932
flid,0.95703589
ruffian,0.956614
egotist,0.956542
troublemaking,0.95475559
hairy,0.95076493
insufferable,0.94990419
blacky,0.9498583
greaseball,0.94744296
dag,0.94364624
craven,0.941927
jobsworth,0.9416749
suck,0.94000356
traitorous,0.93893863
kike,0.93723765
gluttonous,0.93672604
ruffian,0.93645617
nutty,0.93446831
gibberish,0.93391676
blasphemer,0.9320018
slanderous,0.9315521
curmudgeon,0.93123798
pisshead,0.92918631
tubby,0.9289826
killjoy,0.92853493
shredding,0.92835257
whorehouse,0.92797655
dipshit,0.9278
connive,0.92588083
fanboy,0.92302456
wazzock,0.92282228
squid,0.92093448
vomit,0.91862368
knobhead,0.91800415
narcissistic,0.9165536
wimpy,0.91636541
bully,0.91489977
unethical,0.91462512
wanton,0.91394955
dope,0.91365729
twisted,0.91095499
undead,0.91091928
sanctimonious,0.90919629
spick,0.90854553
immorality,0.90770044
were,0.90759902
utter,0.90691016
craven,0.90609247
shitbag,0.90428654
dopey,0.90314614
skimpy,0.89978658
naysayer,0.89978208
cynic,0.89929884
tyrannical,0.89834574
pendejo,0.89686767
sacrilege,0.89591519
slaver,0.89573074
clem,0.89432448
prattle,0.89313548
foolish,0.89230264
jagoff,0.89160098
plagiarism,0.89153798
gory,0.89051546
shithead,0.89034192
kinky,0.88995319
smut,0.88947178
cuckold,0.88735468
uncultured,0.88612938
feckless,0.88428081
tramp,0.88383397
asshat,0.88249038
glutton,0.88200174
slimebag,0.88158179
doddering,0.88146894
slovenly,0.87851423
decadent,0.87845702
himbo,0.87715367
complainer,0.87682161
indecent,0.87674832
brag,0.87668129
arseface,0.87609257
shitload,0.8757106
betrayer,0.87544624
pervert,0.87480553
numbnuts,0.87369322
smackhead,0.87271043
malevolent,0.87267353
sham,0.87192521
nonsense,0.87181878
travesty,0.87030873
reek,0.86879287
bimbette,0.86784936
coddle,0.86734501
bampot,0.86607329
reek,0.86604826
spank,0.86550979
disreputable,0.86542229
petty,0.86499842
freak,0.86456611
mope,0.86439996
leer,0.86410879
milquetoast,0.86354963
trucker,0.86333629
gutless,0.86254275
ruthless,0.86243172
pikey,0.86204452
unspeakable,0.86200621
bratty,0.86130289
